2020-06-22 15:04:04 INFO  TaskSetManager:54 - Finished task 0.0 in stage 3.0 (TID 4) in 26 ms on localhost (executor driver) (1/1)
2020-06-22 15:04:04 INFO  TaskSchedulerImpl:54 - Removed TaskSet 3.0, whose tasks have all completed, from pool 
2020-06-22 15:04:04 INFO  DAGScheduler:54 - ShuffleMapStage 3 (mapPartitions at VertexRDDImpl.scala:247) finished in 0.284 s
2020-06-22 15:04:04 INFO  DAGScheduler:54 - looking for newly runnable stages
2020-06-22 15:04:04 INFO  DAGScheduler:54 - running: Set(ShuffleMapStage 4)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - waiting: Set(ShuffleMapStage 6, ResultStage 7)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - failed: Set()
2020-06-22 15:04:04 INFO  BlockManager:54 - Found block rdd_15_0 locally
2020-06-22 15:04:04 INFO  Executor:54 - Finished task 0.0 in stage 4.0 (TID 5). 975 bytes result sent to driver
2020-06-22 15:04:04 INFO  TaskSetManager:54 - Finished task 0.0 in stage 4.0 (TID 5) in 19 ms on localhost (executor driver) (1/1)
2020-06-22 15:04:04 INFO  TaskSchedulerImpl:54 - Removed TaskSet 4.0, whose tasks have all completed, from pool 
2020-06-22 15:04:04 INFO  DAGScheduler:54 - ShuffleMapStage 4 (mapPartitions at VertexRDDImpl.scala:247) finished in 0.285 s
2020-06-22 15:04:04 INFO  DAGScheduler:54 - looking for newly runnable stages
2020-06-22 15:04:04 INFO  DAGScheduler:54 - running: Set()
2020-06-22 15:04:04 INFO  DAGScheduler:54 - waiting: Set(ShuffleMapStage 6, ResultStage 7)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - failed: Set()
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Submitting ShuffleMapStage 6 (GraphImpl.aggregateMessages - preAgg MapPartitionsRDD[41] at mapPartitions at GraphImpl.scala:207), which has no missing parents
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block broadcast_7 stored as values in memory (estimated size 7.8 KB, free 362.7 MB)
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block broadcast_7_piece0 stored as bytes in memory (estimated size 4.1 KB, free 362.7 MB)
2020-06-22 15:04:04 INFO  BlockManagerInfo:54 - Added broadcast_7_piece0 in memory on master:34649 (size: 4.1 KB, free: 363.0 MB)
2020-06-22 15:04:04 INFO  SparkContext:54 - Created broadcast 7 from broadcast at DAGScheduler.scala:1039
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ShuffleMapStage 6 (GraphImpl.aggregateMessages - preAgg MapPartitionsRDD[41] at mapPartitions at GraphImpl.scala:207) (first 15 tasks are for partitions Vector(0))
2020-06-22 15:04:04 INFO  TaskSchedulerImpl:54 - Adding task set 6.0 with 1 tasks
2020-06-22 15:04:04 INFO  TaskSetManager:54 - Starting task 0.0 in stage 6.0 (TID 6, localhost, executor driver, partition 0, PROCESS_LOCAL, 8344 bytes)
